才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
協心戮力,https://dabimas.jp/kouryaku/abilities/5412364488.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなる,・条件1 馬場状態が良、稍重 1800～2410m 芝レース コンディションが絶好調 ・条件2 3番人気以上の時 騎乗指示：差し,・効果1 自分 ・効果2 自分,70%〜100%
矜持,https://dabimas.jp/kouryaku/abilities/1614536238.html,・常時、脚が速くなり、 根性がつき、気性が穏やかになる,・ダミカ牧場記念、ダビマススプリント、 ダビマスダートカップ、ダビマス金杯、 ダビマスチャレンジカップ、 ダビマスステイヤー、ダビマスダービー,・自分,100%
境断縁,https://dabimas.jp/kouryaku/abilities/0614538228.html,・スタートから30m以降で、 短い時間、脚が速くなり、 持久力が上がる,・1200～1800m ・中山競馬場、東京競馬場、 中京競馬場 ・芝レース ・騎乗指示：逃げ、先行,・自分,100%
京楽,https://dabimas.jp/kouryaku/abilities/4217613583.html,・常時、脚が速くなり、 根性がつき、気性が穏やかになる,・1200～1800m ・東京競馬場、京都競馬場、 中京競馬場,・自分,100%
虚往実帰,https://dabimas.jp/kouryaku/abilities/8965243133.html,・ゴールまで300m以内で、長い時間、 脚が少し速くなる,・1600～2000m ・中山競馬場、阪神競馬場 ・芝レース ・年齢が3歳以上,・自分,60%〜100%
極星十字拳,https://dabimas.jp/kouryaku/abilities/7666243172.html,・ゴールまで200m以内で、 短い時間、少し脚が速くなり、 競り合いで疲れづらくなる,・大井競馬場,・自分,100%
曲突徙薪,https://dabimas.jp/kouryaku/abilities/1354824356.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなる,・2000～2200m ・阪神競馬場、京都競馬場 ・騎乗指示：差し、追込,・自分,100%
虚心坦懐♪,https://dabimas.jp/kouryaku/abilities/9310613245.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 馬場状態が良、稍重 2400～2410m 東京競馬場、ロンシャン競馬場、 メイダン競馬場、シャティン競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
綺羅,https://dabimas.jp/kouryaku/abilities/5814423611.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・馬場状態が良 ・1600、2000、2500m ・中山競馬場、東京競馬場、 阪神競馬場 ・芝レース ・4番人気以上の時 ・騎乗指示：先行,・自分,80%〜100%
煌々海原★,https://dabimas.jp/kouryaku/abilities/1134729356.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなり、 持久力が上がる,・条件1 2000、2500、3000、3200m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
キラ煌花火★,https://dabimas.jp/kouryaku/abilities/4217633563.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 天候が晴、曇 2000、2400、2500m 中山競馬場、東京競馬場、 阪神競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
閃光魔術,https://dabimas.jp/kouryaku/abilities/2651438858.html,・スタートから100m以降で 短い時間、脚が速くなる,・天候が晴 ・馬場状態が良 ・天皇賞(秋)、エリザベス女王杯 ・騎乗指示：逃げ,・自分,50%〜100%
煌めき★恋心,https://dabimas.jp/kouryaku/abilities/3452171596.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 2000～2500m 中山競馬場、京都競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
煌きの円舞,https://dabimas.jp/kouryaku/abilities/8264175310.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 馬場状態が良 皐月賞、日本ダービー、 菊花賞 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
亀龍,https://dabimas.jp/kouryaku/abilities/2863140563.html,・効果1 最後の直線で、 長い時間、スタミナが少し増え、 競り合いで疲れづらくなる ・効果2 最後の直線で、 やや長い時間、特殊演出が発生する,・コンディションが好調以上 ・騎乗指示：追込 ・10番手以下にいる時,・効果1 自分 ・効果2 自分,100%
麒麟児,https://dabimas.jp/kouryaku/abilities/5312364678.html,・効果1 常時、脚が少し速くなる ・効果2 ゴールまで300m以内で、 やや長い時間、脚が少し速くなる,・天候が晴、曇 ・1600～2000m ・中山競馬場、阪神競馬場、 シャティン競馬場,・効果1 自分 ・効果2 自分,100%
欣快,https://dabimas.jp/kouryaku/abilities/9315427267.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 短い時間、脚が速くなる,・条件1 2000～2500m 中山競馬場、阪神競馬場 コンディションが好調以上 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
謹賀新年♪,https://dabimas.jp/kouryaku/abilities/4264175350.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 長い時間、脚が少し速くなる,・条件1 天候が晴、曇 2000～2400m 東京競馬場、京都競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
王者猩々,https://dabimas.jp/kouryaku/abilities/6557931402.html,・効果1（条件1を満たすと発揮） 常時、気性が荒くなるが、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最終コーナーで、 短い時間、脚が少し速くなり、 その後、やや長い時間、脚が速くなる,・条件1 天候が晴 2000～2400m 東京競馬場 コンディションが好調以上 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
王者猩々,https://dabimas.jp/kouryaku/abilities/1274624366.html,・効果1（条件1を満たすと発揮） 常時、気性が荒くなるが、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最終コーナーで、 短い時間、脚が少し速くなり、 その後、やや長い時間、脚が速くなる,・条件1 天候が晴 2000～2400m 東京競馬場 コンディションが好調以上 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
密林大王,https://dabimas.jp/kouryaku/abilities/7264166320.html,・常時、スタミナが少し増え、 気性が穏やかになる,・天候が晴 ・2000、2400m ・東京競馬場、小倉競馬場、 新潟競馬場、福島競馬場,・自分,100%
金城鉄壁,https://dabimas.jp/kouryaku/abilities/4614536217.html,・最後の直線で、 長い時間、スタミナが少し増える,・2000～2500m ・中山競馬場、京都競馬場、 大井競馬場 ・騎乗指示：追込,・自分,50%〜100%
金木犀,https://dabimas.jp/kouryaku/abilities/6353124071.html,・効果1 常時、脚が少し速くなる ・効果2 ゴールまで350m以内で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・1600～2000m ・阪神競馬場、京都競馬場,・効果1 自分 ・効果2 自分,100%
逆襲,https://dabimas.jp/kouryaku/abilities/8315428267.html,・ゲートで出遅れると、短い時間 脚が少し速くなる,・騎乗指示：逃げ,・自分,30%〜60%
玉食,https://dabimas.jp/kouryaku/abilities/6350124281.html,・最後の直線で、 やや長い時間、脚が速くなる,・馬場状態が良 ・1800～2500m ・京都競馬場、メイダン競馬場 ・コンディションが絶好調 ・騎乗指示：差し ・5番手以下にいる時,・自分,60%〜100%
玉鳳舞桐花,https://dabimas.jp/kouryaku/abilities/8182546832.html,・ゴールまで200m以内で、 やや長い時間、脚が少し速くなる,・コンディションが絶好調 ・騎手が松山騎手、丸山騎手、 横山和騎手、坂井騎手、 横山武騎手,・自分,100%
玉嵐,https://dabimas.jp/kouryaku/abilities/5812364583.html,・ゴールまで200m以内で、 短い時間、脚が速くなる,・ＮＨＫマイルカップ、天皇賞(秋)、 エリザベス女王杯、菊花賞、 天皇賞(春) ・騎乗指示：逃げ、先行,・自分,70%〜100%
輝々★線光,https://dabimas.jp/kouryaku/abilities/7110653245.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴 2000～2500m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
銀河彗星,https://dabimas.jp/kouryaku/abilities/6162546737.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 2000～2500m 中山競馬場、東京競馬場、 新潟競馬場、福島競馬場、 ロンシャン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
銀雪♪,https://dabimas.jp/kouryaku/abilities/1725948638.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・天候が晴、曇 ・1600、2000、2200m ・京都競馬場、シャティン競馬場 ・騎乗指示：先行,・自分,100%
銀白夜空★,https://dabimas.jp/kouryaku/abilities/7465243184.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 短い時間、脚が非常に速くなり、 競り合いで疲れづらくなる,・条件1 1200、3000、3200m 中山競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
食いしん坊,https://dabimas.jp/kouryaku/abilities/3126144660.html,・常時、スタミナが増え、 根性がつく,・ジャパンカップ,・自分,100%
久遠,https://dabimas.jp/kouryaku/abilities/6578631402.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 ダートレース ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
久遠の軌跡,https://dabimas.jp/kouryaku/abilities/7865243180.html,・効果1 常時、スタミナが少し増える ・効果2 ゴールまで275m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・馬場状態が良 ・1600～2410m ・ロンシャン競馬場、メイダン競馬場、 シャティン競馬場 ・芝レース,・効果1 自分 ・効果2 自分,100%
草薙,https://dabimas.jp/kouryaku/abilities/1334826356.html,・スタート時に、 短い時間、脚が速くなる,・2000、2400m ・中山競馬場、東京競馬場 ・芝レース ・騎乗指示：逃げ,・自分,50%〜100%
駆使,https://dabimas.jp/kouryaku/abilities/3315488266.html,・鞭を入れた時に、 短い時間、 脚が少し速くなる,・東京競馬場、阪神競馬場、 中京競馬場 ・芝レース,・自分,100%
苦心,https://dabimas.jp/kouryaku/abilities/5812364880.html,・ゴールまで500m以内で、 短い時間、脚が速くなり、 スタミナが増える,・馬場状態が良、稍重 ・2400、2500、3000m ・騎乗指示：先行,・自分,100%
屈強,https://dabimas.jp/kouryaku/abilities/2415360801.html,・常時、スタミナが増える,・菊花賞,・自分,100%
聖夜☆光飾,https://dabimas.jp/kouryaku/abilities/7875466231.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 短い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴 2000～2400m 東京競馬場、阪神競馬場、 大井競馬場 コンディションが好調以上 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
聖夜光星,https://dabimas.jp/kouryaku/abilities/6350124272.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 馬場状態が良 1600～2200m 東京競馬場、阪神競馬場、 大井競馬場 コンディションが絶好調 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,50%〜100%
聖歌之夜,https://dabimas.jp/kouryaku/abilities/4962581737.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 短い時間、脚が速くなり、 スタミナが少し増える,・条件1 馬場状態が良 1800、2000、2200、3200m 阪神競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,50%〜100%
聖樹,https://dabimas.jp/kouryaku/abilities/2762142563.html,・最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・天候が晴、曇 ・馬場状態が良、稍重 ・2000～3200m ・阪神競馬場、京都競馬場 ・騎乗指示：逃げ,・自分,100%
聖花,https://dabimas.jp/kouryaku/abilities/3452251876.html,・常時、脚が少し速くなり、 気性が穏やかになる,・天候が晴、曇 ・馬場状態が良、稍重 ・1600～2000m ・東京競馬場、シャティン競馬場 ・芝レース,・自分,100%
聖夜之贈物,https://dabimas.jp/kouryaku/abilities/4315467268.html,・効果1 常時、脚が少し速くなり、 根性がつき、気性が穏やかになる ・効果2 ゴールまで200m以内で、 やや長い時間、脚が速くなる,・2000、2400m ・東京競馬場、阪神競馬場、 ロンシャン競馬場 ・コンディションが絶好調,・効果1 自分 ・効果2 自分,100%
聖鈴,https://dabimas.jp/kouryaku/abilities/7365243158.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・阪神競馬場、京都競馬場 ・芝レース ・コンディションが絶好調,・自分,100%
Chronicle,https://dabimas.jp/kouryaku/abilities/4218653533.html,・常時、スタミナが少し増え、 根性がつく,・中山競馬場、京都競馬場 ・芝レース ・コンディションが好調以上,・自分,50%〜100%
クローザー,https://dabimas.jp/kouryaku/abilities/3452261686.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で やや長い時間、脚が速くなる ・効果3（条件1、2を満たすと発揮） ゴールまで400m以内で やや長い時間、対象を疲れやすくする,・条件1 天候が晴、曇、雨 1600～2400m 東京競馬場、京都競馬場、 メイダン競馬場 芝レース ・条件2 騎乗指示：差し、追込 3～7番手にいる時 先頭の騎乗指示：逃げ,・効果1 自分 ・効果2 自分 ・効果3 一番速く走っている相手へ 騎乗指示：逃げ 相手競走馬1頭,50%〜100%
クローザー,https://dabimas.jp/kouryaku/abilities/3452091586.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で やや長い時間、脚が速くなる ・効果3（条件1、2を満たすと発揮） ゴールまで400m以内で やや長い時間、対象を疲れやすくする,・条件1 天候が晴、曇、雨 1600～2400m 東京競馬場、京都競馬場、 メイダン競馬場 芝レース ・条件2 騎乗指示：差し、追込 3～7番手にいる時 先頭の騎乗指示：逃げ,・効果1 自分 ・効果2 自分 ・効果3 一番速く走っている相手へ 騎乗指示：逃げ 相手競走馬1頭,50%〜100%
Quiet,https://dabimas.jp/kouryaku/abilities/3264185314.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・1600～2200m ・中山競馬場、京都競馬場 ・コンディションが好調以上 ・騎乗指示：逃げ、先行,・自分,60%〜100%
薫風,https://dabimas.jp/kouryaku/abilities/0271560433.html,・ゴールまで450m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・天候が晴、曇、雨 ・2200～2400m ・コンディションが好調以上 ・騎乗指示：逃げ,・自分,100%
涼風夏宴♪,https://dabimas.jp/kouryaku/abilities/2271561403.html,・ゴールまで300m以内で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・天候が晴、曇 ・馬場状態が良 ・2000、2200、3000、3200m ・芝レース ・騎乗指示：逃げ,・自分,100%
地球漢,https://dabimas.jp/kouryaku/abilities/6104523617.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・天候が晴、雨 ・馬場状態が良、重 ・1200、1600、2500、3200m ・コンディションが絶好調 ・4番手以下にいる時,・自分,100%
地球漢,https://dabimas.jp/kouryaku/abilities/4217625553.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・天候が晴、雨 ・馬場状態が良、重 ・1200、1600、2500、3200m ・コンディションが絶好調 ・4番手以下にいる時,・自分,100%
形影一如,https://dabimas.jp/kouryaku/abilities/3126842052.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が柴田善騎手,・自分,100%
軽快,https://dabimas.jp/kouryaku/abilities/1474821356.html,・常時、脚が少し速くなる,・馬場状態が重、不良,・自分,100%
慧眼,https://dabimas.jp/kouryaku/abilities/2691436658.html,・スタートから30m以降で、短い時間 脚が速くなる,・BCのみ ・中山記念,・自分,100%
蛍雪,https://dabimas.jp/kouryaku/abilities/5754023612.html,・常時、スタミナが少し増え、 根性がつく,・天候が晴、曇、雪 ・中山競馬場、京都競馬場、 大井競馬場,・自分,60%〜100%
勁草之節,https://dabimas.jp/kouryaku/abilities/1264185352.html,・スタートから30m以降で、 短い時間、脚が速くなり、 スタミナが少し増える,・1600、1800、2400m ・京都競馬場、シャティン競馬場 ・芝レース ・騎乗指示：逃げ,・自分,50%〜100%
決死の覚悟,https://dabimas.jp/kouryaku/abilities/3126142662.html,・ゴールまで400m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・2000、2400、3000m ・中山競馬場、東京競馬場、 京都競馬場 ・騎乗指示：逃げ,・自分,100%
決意の直滑降,https://dabimas.jp/kouryaku/abilities/6264116380.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 天皇賞(春)、 朝日杯フューチュリティステークス ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,50%〜80%
結実,https://dabimas.jp/kouryaku/abilities/1124829356.html,・ゴールまで800m以内で、短い時間 スタミナが少し増える,・芝レース ・10番手以下にいる時,・自分,100%
決然,https://dabimas.jp/kouryaku/abilities/2671437659.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・2000、2200、3000、3200m ・東京競馬場、京都競馬場 ・騎乗指示：差し,・自分,100%
狷介不羈,https://dabimas.jp/kouryaku/abilities/8565243155.html,・常時、気性が穏やかになり、 根性がつき、脚が少し速くなる,・天候が晴、雨 ・馬場状態が良、不良,・自分,50%〜100%
乾坤一擲,https://dabimas.jp/kouryaku/abilities/4182546836.html,・効果1 最後の直線で、 やや長い時間、脚が少し速くなり、 スタミナが少し増え、 持久力が上がる ・効果2 最後の直線で、 やや長い時間、以下のどれかを発揮する 脚が少し速くなる スタミナが少し増える 競り合いで疲れづらくなる ※効果1と効果2は重複して発揮します,・2400m ・芝レース ・騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
牽制,https://dabimas.jp/kouryaku/abilities/3452391286.html,・ゴールまで500m以内で、やや長い時間 対象の脚を遅くする,・ジャパンカップ,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：逃げ ・相手競走馬2頭,30%〜60%
賢走,https://dabimas.jp/kouryaku/abilities/3264185350.html,・ゴールまで300m以内で、 短い時間、脚が速くなる,・2000～2200m ・阪神競馬場、京都競馬場 ・騎乗指示：逃げ、先行,・自分,60%〜100%
健啖家,https://dabimas.jp/kouryaku/abilities/7765243118.html,・常時、スタミナが増え、 根性がつく,・ジャパンカップ,・自分,100%
芸術秋空,https://dabimas.jp/kouryaku/abilities/4217609533.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなる ・効果3（条件1、2を満たすと発揮） ゴールまで250m以内で、 短い時間、対象の脚を遅くする,・条件1 天候が晴、雨 2000～2400m 東京競馬場 コンディションが絶好調 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分 ・効果3 騎乗指示：先行 相手競走馬1頭,70%〜100%
激発,https://dabimas.jp/kouryaku/abilities/5012364879.html,・ゴールまで200m以内で、 短い時間、脚が速くなる,・天候が晴 ・2000、2500m ・中山競馬場 ・コンディションが絶好調,・自分,100%
月下彼岸,https://dabimas.jp/kouryaku/abilities/5315449267.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・1200～1800m ・中山競馬場、京都競馬場、 中京競馬場 ・騎乗指示：逃げ,・自分,100%
月光,https://dabimas.jp/kouryaku/abilities/1644723356.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで325m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 馬場状態が良、稍重 1600～2200m 東京競馬場、阪神競馬場、 シャティン競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
月長石,https://dabimas.jp/kouryaku/abilities/8385496231.html,・スタートから100m以降で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・2200～3200m ・コンディションが好調以上 ・年齢が4歳以上 ・騎乗指示：逃げ、先行,・自分,100%
月影,https://dabimas.jp/kouryaku/abilities/3452721586.html,・常時、脚が少し速くなり スタミナが少し増える,・馬場状態が良 ・メイダン競馬場、大井競馬場（夜のみ）,・自分,30%〜80%
月影一閃,https://dabimas.jp/kouryaku/abilities/1016653246.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・天皇賞(秋) ・騎乗指示：差し,・自分,100%
月映景星,https://dabimas.jp/kouryaku/abilities/7614531228.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・1600～2000m ・中山競馬場、阪神競馬場、 京都競馬場 ・芝レース ・年齢が3歳以上 ・5番人気以上の時,・自分,100%
月葵穿孔,https://dabimas.jp/kouryaku/abilities/3438165213.html,・最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・1200、1800m ・東京競馬場、中京競馬場、 メイダン競馬場 ・芝レース ・騎乗指示：先行,・自分,100%
元気一番,https://dabimas.jp/kouryaku/abilities/4264185340.html,・ゴールまで300m以内で、 短い時間、脚が少し速くなる,・天候が晴、曇 ・メイダン競馬場、シャティン競馬場,・自分,100%
元気爆増撃,https://dabimas.jp/kouryaku/abilities/2621301446.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが増える ・効果2（条件1、2を満たすと発揮） ゴールまで500m以内で、 長い時間、脚が速くなる ・効果3（条件1、2を満たすと発揮） 特殊演出が発生する,・条件1 天候が晴 馬場状態が良 阪神競馬場 コンディションが絶好調 ・条件2 騎乗指示：先行、差し,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
限定ジャンケン‥！,https://dabimas.jp/kouryaku/abilities/0264185362.html,・常時、脚が速くなる,・阪神競馬場、小倉競馬場、 京都競馬場,・自分,30%
恋衣,https://dabimas.jp/kouryaku/abilities/6587231442.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで500m以内で、 やや長い時間、脚が少し速くなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・条件1 馬場状態が良、稍重 2400、2500m 中山競馬場、東京競馬場、 シャティン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分 ・効果3 自分,60%〜100%
鯉滝昇,https://dabimas.jp/kouryaku/abilities/1271561413.html,・効果1 最終コーナーで、 やや長い時間、脚が速くなる ・効果2 最終コーナーで、 短い時間、以下のどれかを発揮する 脚が速くなる 持久力が上がる,・マイルチャンピオンシップ ・騎乗指示：先行,・効果1 自分 ・効果2 自分,50%〜100%
恋夜麗火♪,https://dabimas.jp/kouryaku/abilities/3126744150.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が非常に速くなり、 競り合いで疲れづらくなる,・条件1 1200～2000m 中山競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,90%
煌安,https://dabimas.jp/kouryaku/abilities/5612364486.html,・常時、脚が非常に速くなる,・安田記念,・自分,100%
好運,https://dabimas.jp/kouryaku/abilities/5804623610.html,・常時、スタミナが増える,・日本ダービー,・自分,100%
香影,https://dabimas.jp/kouryaku/abilities/3452691076.html,・常時、脚が少し速くなり、 スタミナが少し増える,・馬場状態が良 ・1200～2000m ・東京競馬場、京都競馬場、 中京競馬場,・自分,100%
光炎,https://dabimas.jp/kouryaku/abilities/4614534228.html,・スタートから30m以降で、短い時間 脚が少し速くなり、スタミナが少し増える,・芝レース ・3番人気以上の時 ・騎乗指示：逃げ,・自分,100%
狡猾,https://dabimas.jp/kouryaku/abilities/6429883815.html,・常時、スタミナが少し増え、 気性が穏やかになる,・1600～2000m ・中山競馬場、東京競馬場、 京都競馬場,・自分,100%
黄花晩節,https://dabimas.jp/kouryaku/abilities/3264175315.html,・最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・天候が晴、曇、雨 ・1600～2200m ・中山競馬場、阪神競馬場、 京都競馬場,・自分,100%
咬牙,https://dabimas.jp/kouryaku/abilities/4218635533.html,・常時、スタミナが少し増え、 根性がつき、 気性が穏やかになる,・2200～3200m ・中山競馬場、京都競馬場 ・コンディションが絶好調,・自分,70%〜100%
皇輝,https://dabimas.jp/kouryaku/abilities/7010663245.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・条件1 1600～2400m 東京競馬場、京都競馬場、 中京競馬場、札幌競馬場 ・条件2 5番人気以上の時 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
皇脚,https://dabimas.jp/kouryaku/abilities/3614538207.html,・ゴールまで300m以内で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・2000～2400m ・中山競馬場、東京競馬場、 阪神競馬場、京都競馬場,・自分,100%
高潔無比,https://dabimas.jp/kouryaku/abilities/7765243190.html,・効果1 常時、スタミナが少し増え、 気性が穏やかになる ・効果2 ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・馬場状態が良 ・2400、2500m ・コンディションが好調以上,・効果1 自分 ・効果2 自分,100%
巧匠夢現,https://dabimas.jp/kouryaku/abilities/6614535207.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなる,・条件1 エリザベス女王杯、有馬記念 年齢が4歳以上 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
好事,https://dabimas.jp/kouryaku/abilities/8315419267.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなる,・2200～2400m ・東京競馬場、阪神競馬場 ・騎乗指示：差し,・自分,100%
拘束,https://dabimas.jp/kouryaku/abilities/9122546837.html,・ゴールまで500m以内で、短い時間 対象のスタミナを減らす,・凱旋門賞,・自分より順位の高い相手へ ・相手競走馬2頭,30%〜60%
荒天舞,https://dabimas.jp/kouryaku/abilities/9614530227.html,・効果1 最終コーナーで、 やや長い時間、脚が少し速くなる ・効果2 最終コーナーで、 やや長い時間、以下のどれかを発揮する 脚が非常に速くなる スタミナが増える 何も起こらない ※効果1と効果2は重複して発揮します,・1200、2000m ・中山競馬場、東京競馬場 ・芝レース ・騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
